GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GAME_DATE,OFF_RATING,DEF_RATING,NET_RATING,OPP_TEAM_ID,OPP_TEAM_NAME,OPP_TEAM_ABBREVIATION,OPP_TEAM_CITY,OPP_OFF_RATING,OPP_DEF_RATING,OPP_NET_RATING,PTS_DIFF
0021600001,1610612752,Knicks,NYK,New York,240:00,0.42,0.23,0.179,0.245,0.548,0.202,0.141,0.275,2016-10-25,87.3,110.0,-22.7,1610612739,Cavaliers,CLE,Cleveland,110.0,87.3,22.7,-29.0
0021600002,1610612762,Jazz,UTA,Utah,240:00,0.537,0.195,0.144,0.171,0.607,0.293,0.14,0.167,2016-10-25,107.2,121.9,-14.8,1610612757,Trail Blazers,POR,Portland,121.9,107.2,14.8,-9.0
0021600003,1610612759,Spurs,SAS,San Antonio,240:00,0.541,0.265,0.137,0.438,0.512,0.212,0.159,0.19,2016-10-25,125.9,99.1,26.8,1610612744,Warriors,GSW,Golden State,99.1,125.9,-26.8,29.0
0021600004,1610612753,Magic,ORL,Orlando,240:00,0.416,0.315,0.113,0.294,0.505,0.165,0.12,0.348,2016-10-26,98.6,108.0,-9.3,1610612748,Heat,MIA,Miami,108.0,98.6,9.3,-12.0
0021600005,1610612754,Pacers,IND,Indiana,265:00,0.559,0.366,0.138,0.17,0.519,0.173,0.128,0.185,2016-10-26,112.1,103.5,8.6,1610612742,Mavericks,DAL,Dallas,103.5,112.1,-8.6,9.0
0021600006,1610612738,Celtics,BOS,Boston,240:00,0.601,0.202,0.183,0.293,0.521,0.206,0.15,0.3,2016-10-26,117.4,109.6,7.8,1610612751,Nets,BKN,Brooklyn,109.6,117.4,-7.8,5.0
0021600007,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.337,0.124,0.304,0.44,0.262,0.14,0.178,2016-10-26,112.6,91.3,21.4,1610612765,Pistons,DET,Detroit,91.3,112.6,-21.4,18.0
0021600008,1610612749,Bucks,MIL,Milwaukee,240:00,0.44,0.217,0.081,0.2,0.489,0.27,0.101,0.234,2016-10-26,97.2,108.6,-11.4,1610612766,Hornets,CHA,Charlotte,108.6,97.2,11.4,-11.0
0021600009,1610612750,Timberwolves,MIN,Minnesota,240:00,0.453,0.337,0.116,0.306,0.519,0.338,0.138,0.268,2016-10-26,103.4,108.6,-5.2,1610612763,Grizzlies,MEM,Memphis,108.6,103.4,5.2,-4.0
0021600010,1610612740,Pelicans,NOP,New Orleans,240:00,0.429,0.283,0.101,0.096,0.494,0.398,0.224,0.282,2016-10-26,93.2,95.9,-2.7,1610612743,Nuggets,DEN,Denver,95.9,93.2,2.7,-5.0
