yearID,franchID,R,RAA,O,O_nonK,SO,X1B,X2B,X3B,HR,BB,HBP,SB,CS
2000,ANA,864,125.32941176470592,4054,3030.0,1024.0,995,309,34,236,608,47.0,93.0,52.0
2000,ARI,792,53.329411764705924,4061,3086.0,975.0,961,282,44,179,535,59.0,97.0,44.0
2000,ATL,810,71.32941176470592,3999,2989.0,1010.0,1011,274,26,179,595,59.0,148.0,56.0
2000,BAL,794,55.329411764705924,4041,3141.0,900.0,992,310,22,184,558,49.0,126.0,65.0
2000,BOS,792,53.329411764705924,4127,3108.0,1019.0,988,316,32,167,611,42.0,43.0,30.0
2000,CHW,978,239.32941176470592,4031,3071.0,960.0,1041,325,33,216,591,53.0,119.0,42.0
2000,CHC,764,25.329411764705924,4151,3031.0,1120.0,948,272,23,183,632,54.0,93.0,37.0
2000,CIN,825,86.32941176470592,4090,3095.0,995.0,1007,302,36,200,559,64.0,100.0,38.0
2000,CLE,950,211.32941176470592,4044,2987.0,1057.0,1078,310,30,221,685,51.0,113.0,34.0
2000,COL,968,229.32941176470592,3996,3089.0,907.0,1130,320,53,161,601,42.0,131.0,61.0
2000,DET,823,84.32941176470592,4091,3109.0,982.0,1028,307,41,177,562,43.0,83.0,38.0
2000,FLA,731,-7.670588235294076,4068,2884.0,1184.0,978,274,29,160,540,60.0,168.0,55.0
2000,HOU,938,199.32941176470592,4023,2894.0,1129.0,973,289,36,249,673,83.0,114.0,52.0
2000,KCR,879,140.32941176470592,4065,3225.0,840.0,1186,281,27,150,511,48.0,121.0,35.0
2000,LAD,798,59.329411764705924,4073,2990.0,1083.0,904,265,28,211,668,51.0,95.0,42.0
2000,MIL,740,1.3294117647059238,4197,2952.0,1245.0,867,297,25,177,620,61.0,72.0,44.0
2000,MIN,748,9.329411764705924,4099,3078.0,1021.0,1026,325,49,116,556,35.0,90.0,45.0
2000,WSN,738,-0.6705882352940762,4060,3012.0,1048.0,952,310,35,178,476,29.0,58.0,48.0
2000,NYY,871,132.32941176470592,4015,3008.0,1007.0,1017,294,25,205,631,57.0,99.0,48.0
2000,NYM,807,68.32941176470592,4041,3004.0,1037.0,946,281,20,198,675,45.0,66.0,46.0
2000,OAK,947,208.32941176470592,4059,2900.0,1159.0,958,281,23,239,750,52.0,40.0,15.0
2000,PHI,708,-30.67058823529408,4125,3008.0,1117.0,898,304,40,144,611,44.0,102.0,30.0
2000,PIT,793,54.329411764705924,4137,3105.0,1032.0,987,320,31,168,564,66.0,86.0,40.0
2000,SDP,752,13.329411764705926,4147,2970.0,1177.0,940,279,37,157,602,46.0,131.0,53.0
2000,SEA,907,168.3294117647059,4016,2943.0,1073.0,957,300,26,198,775,48.0,122.0,56.0
2000,SFG,925,186.32941176470592,3984,2952.0,1032.0,961,304,44,226,709,51.0,79.0,39.0
2000,STL,887,148.3294117647059,3997,2744.0,1253.0,962,259,25,235,675,84.0,87.0,51.0
2000,TBD,733,-5.670588235294076,4091,3069.0,1022.0,977,253,22,162,558,51.0,90.0,46.0
2000,TEX,848,109.32941176470592,4047,3125.0,922.0,1063,330,35,173,580,39.0,69.0,47.0
2000,TOR,861,122.32941176470592,4115,3089.0,1026.0,969,328,21,244,526,60.0,89.0,34.0
2001,ANA,691,-47.670588235294076,4104,3103.0,1001.0,988,275,26,158,494,77.0,116.0,52.0
2001,ARI,818,79.32941176470592,4101,3049.0,1052.0,967,284,35,208,587,57.0,71.0,38.0
2001,ATL,729,-9.670588235294076,4066,3027.0,1039.0,971,263,24,174,493,45.0,85.0,46.0
2001,BAL,687,-51.670588235294076,4113,3124.0,989.0,937,262,24,136,514,77.0,133.0,53.0
2001,BOS,772,33.329411764705924,4112,2981.0,1131.0,950,316,29,198,520,70.0,46.0,35.0
2001,CHW,798,59.329411764705924,4001,3003.0,998.0,920,300,29,214,520,52.0,123.0,59.0
2001,CHC,777,38.32941176470592,3997,2920.0,1077.0,915,268,32,194,577,66.0,67.0,36.0
2001,CIN,735,-3.670588235294076,4119,2947.0,1172.0,962,304,22,176,468,65.0,103.0,54.0
2001,CLE,897,158.3294117647059,4041,2965.0,1076.0,1016,294,37,212,577,69.0,79.0,41.0
2001,COL,923,184.32941176470592,4027,3000.0,1027.0,1065,324,61,213,511,61.0,132.0,54.0
2001,DET,724,-14.670588235294074,4098,3126.0,972.0,949,291,60,139,466,51.0,133.0,61.0
2001,FLA,742,3.329411764705924,4081,2936.0,1145.0,940,325,30,166,470,67.0,89.0,40.0
2001,HOU,847,108.32941176470592,4028,2909.0,1119.0,950,313,29,208,581,89.0,64.0,49.0
2001,KCR,729,-9.670588235294076,4140,3242.0,898.0,1037,277,37,152,406,44.0,100.0,42.0
2001,LAD,758,19.329411764705924,4094,3032.0,1062.0,902,264,27,206,519,56.0,89.0,42.0
2001,MIL,740,1.3294117647059238,4110,2711.0,1399.0,866,273,30,209,488,72.0,66.0,36.0
2001,MIN,771,32.329411764705924,4046,2963.0,1083.0,984,328,38,164,495,64.0,146.0,67.0
2001,WSN,670,-68.67058823529408,4018,2947.0,1071.0,882,320,28,131,478,60.0,101.0,51.0
2001,NYY,804,65.32941176470592,4089,3054.0,1035.0,976,289,20,203,519,64.0,161.0,53.0
2001,NYM,642,-96.67058823529408,4098,3036.0,1062.0,923,273,18,147,545,65.0,66.0,48.0
2001,OAK,884,145.3294117647059,4104,3083.0,1021.0,914,334,22,199,640,88.0,68.0,29.0
2001,PHI,746,7.329411764705924,4066,2941.0,1125.0,943,295,29,164,551,43.0,153.0,47.0
2001,PIT,657,-81.67058823529408,4065,2959.0,1106.0,891,256,25,161,467,67.0,93.0,73.0
2001,SDP,789,50.329411764705924,4103,2830.0,1273.0,919,273,26,161,678,41.0,129.0,44.0
2001,SEA,927,188.32941176470592,4043,3054.0,989.0,1120,310,38,169,614,62.0,174.0,42.0
2001,SFG,799,60.329411764705924,4119,3029.0,1090.0,914,304,40,235,625,50.0,57.0,42.0
2001,STL,814,75.32941176470592,3981,2892.0,1089.0,964,274,32,199,529,65.0,91.0,35.0
2001,TBD,672,-66.67058823529408,4098,2982.0,1116.0,973,311,21,121,456,54.0,115.0,52.0
2001,TEX,890,151.3294117647059,4119,3026.0,1093.0,971,326,23,246,548,75.0,97.0,32.0
2001,TOR,767,28.329411764705924,4174,3080.0,1094.0,971,287,36,195,470,74.0,156.0,55.0
2002,ANA,851,112.32941176470592,4075,3270.0,805.0,1086,333,32,152,462,74.0,117.0,51.0
2002,ARI,819,80.32941176470592,4037,3021.0,1016.0,982,283,41,165,643,50.0,92.0,46.0
2002,ATL,708,-30.67058823529408,4067,3039.0,1028.0,959,280,25,164,558,54.0,76.0,39.0
2002,BAL,667,-71.67058823529408,4138,3145.0,993.0,850,311,27,165,452,64.0,110.0,48.0
